2026-03-21 22:25:49,849 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.1335s | Status: 200
2026-03-21 22:25:51,088 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 14.6612s | Status: 200
2026-03-21 22:25:55,994 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.0792s | Status: 200
2026-03-21 22:25:57,368 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0532s | Status: 200
2026-03-21 22:25:57,480 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0673s | Status: 200
2026-03-21 22:25:57,628 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.1063s | Status: 200
2026-03-21 22:25:57,763 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0994s | Status: 200
2026-03-21 22:25:57,835 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.1509s | Status: 200
2026-03-21 22:25:57,870 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.1825s | Status: 200
2026-03-21 22:25:57,948 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0505s | Status: 200
2026-03-21 22:25:58,446 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.7580s | Status: 200
2026-03-21 22:26:11,308 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 13.9956s | Status: 200
2026-03-21 22:26:11,569 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.1879s | Status: 200
2026-03-21 22:26:11,717 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0855s | Status: 200
2026-03-21 22:26:11,880 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0839s | Status: 200
2026-03-21 22:26:12,834 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.1655s | Status: 200
2026-03-21 22:26:12,998 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0661s | Status: 200
2026-03-21 22:26:13,317 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.1446s | Status: 200
2026-03-21 22:26:15,404 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-fi | Method: GET | Latency: 14.4181s | Status: 200
2026-03-21 22:26:19,785 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.1107s | Status: 200
2026-03-21 22:26:23,967 - API_MONITOR - INFO - Path: /api/movies/398818 | Method: GET | Latency: 0.0686s | Status: 200
2026-03-21 22:26:24,297 - API_MONITOR - INFO - Path: /api/movies/398818 | Method: GET | Latency: 0.0911s | Status: 200
2026-03-21 22:26:27,205 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 15.8419s | Status: 200
2026-03-21 22:26:27,792 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 15.8428s | Status: 200
2026-03-21 22:26:30,879 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-fi | Method: GET | Latency: 15.3867s | Status: 200
2026-03-21 22:26:43,726 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 16.7539s | Status: 200
2026-03-21 22:26:49,820 - API_MONITOR - INFO - Path: /api/search | Method: GET | Latency: 0.0011s | Status: 307
2026-03-21 22:26:49,875 - API_MONITOR - INFO - Path: /api/search | Method: GET | Latency: 0.0037s | Status: 307
2026-03-21 22:26:52,638 - API_MONITOR - INFO - Path: /api/search | Method: GET | Latency: 0.0007s | Status: 307
2026-03-21 22:27:00,139 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.1171s | Status: 200
2026-03-21 22:27:00,177 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.1470s | Status: 200
2026-03-21 22:27:00,232 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.2065s | Status: 200
2026-03-21 22:27:00,280 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.2446s | Status: 200
2026-03-21 22:27:00,417 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.1125s | Status: 200
2026-03-21 22:27:00,462 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.1441s | Status: 200
2026-03-21 22:27:00,492 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.1571s | Status: 200
2026-03-21 22:27:00,531 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.1831s | Status: 200
2026-03-21 22:27:17,875 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 17.8955s | Status: 200
2026-03-21 22:27:20,074 - API_MONITOR - INFO - Path: /api/movies/genre/Documentary | Method: GET | Latency: 15.8165s | Status: 200
2026-03-21 22:27:36,352 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 18.1357s | Status: 200
2026-03-21 22:27:52,523 - API_MONITOR - INFO - Path: /api/movies/genre/Documentary | Method: GET | Latency: 32.0962s | Status: 200
2026-03-21 23:51:45,180 - API_MONITOR - INFO - Path: / | Method: GET | Latency: 0.0258s | Status: 200
2026-03-22 00:23:01,685 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.1016s | Status: 200
2026-03-22 00:23:01,719 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.1142s | Status: 200
2026-03-22 00:23:01,926 - API_MONITOR - INFO - Path: /api/movies/indian | Method: GET | Latency: 0.3354s | Status: 200
2026-03-22 00:23:01,977 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.3720s | Status: 200
2026-03-22 00:23:03,918 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0647s | Status: 200
2026-03-22 00:23:03,937 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0742s | Status: 200
2026-03-22 00:23:03,963 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0887s | Status: 200
2026-03-22 00:23:04,219 - API_MONITOR - INFO - Path: /api/movies/indian | Method: GET | Latency: 0.3390s | Status: 200
2026-03-22 00:23:08,209 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 6.6367s | Status: 200
2026-03-22 00:23:08,469 - API_MONITOR - INFO - Path: /api/movies/series | Method: GET | Latency: 6.8637s | Status: 200
2026-03-22 00:23:10,324 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 6.4726s | Status: 200
2026-03-22 00:23:10,436 - API_MONITOR - INFO - Path: /api/movies/series | Method: GET | Latency: 6.5603s | Status: 200
2026-03-22 00:23:40,939 - API_MONITOR - INFO - Path: /api/movies/456 | Method: GET | Latency: 2.1112s | Status: 200
2026-03-22 00:23:43,598 - API_MONITOR - INFO - Path: /api/movies/456 | Method: GET | Latency: 2.6525s | Status: 200
2026-03-22 00:23:53,748 - API_MONITOR - INFO - Path: /api/recommendations/456 | Method: GET | Latency: 10.1461s | Status: 200
2026-03-22 00:24:03,289 - API_MONITOR - INFO - Path: /api/recommendations/456 | Method: GET | Latency: 9.5301s | Status: 200
2026-03-22 00:24:03,328 - API_MONITOR - INFO - Path: /api/movies/indian | Method: GET | Latency: 0.0366s | Status: 200
2026-03-22 00:24:03,337 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0457s | Status: 200
2026-03-22 00:24:03,367 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0758s | Status: 200
2026-03-22 00:24:03,368 - API_MONITOR - INFO - Path: /api/movies/indian | Method: GET | Latency: 0.0370s | Status: 200
2026-03-22 00:24:03,373 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0816s | Status: 200
2026-03-22 00:24:03,385 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0450s | Status: 200
2026-03-22 00:24:03,411 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0358s | Status: 200
2026-03-22 00:24:03,430 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0558s | Status: 200
2026-03-22 00:24:06,569 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 3.2781s | Status: 200
2026-03-22 00:24:06,643 - API_MONITOR - INFO - Path: /api/movies/series | Method: GET | Latency: 3.3455s | Status: 200
2026-03-22 00:24:09,701 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 3.1283s | Status: 200
